Game2
 Rohr : 2                        X-22 : 0
  1) 15: 13/8 24/23              43: 24/20 24/21 
  2) 56: 24/18 23/18             45: 21/16 20/16 
  3) 51: 8/3 6/5                 52: 13/8 6/4 
  4) 11: 6/5 6/5 5/4 4/3         53: 13/8 8/5 
  5) 53: 13/8 8/5                11: 16/15 16/15 15/14 15/14 
  6) 24: 13/9 8/6                62: 13/11 11/5 
  7) 31: 8/5 5/4                 53: 8/3 8/5 
  8) 53: 13/8 13/10              53: 14/9 9/6 
  9) 55: 18/13 18/13 13/8 13/8   44: 14/10 13/9 10/6 8/4 
 10) 61: 10/4 8/7                66: 13/7 9/3 8/2 7/1 
 11) 51: 9/4 7/6                  Doubles => 2
 12)  Drops                       Wins 1 point

 
