Game14
 Eli Roymi : 9                   Hiedeaki Ueda : 8
  1)                             21: 6/5 13/11 
  2) 13: 24/23 23/20*            61: 25/24 11/5* 
  3) 33: 25/22 13/10 8/5 8/5     21: 24/22 6/5 
  4) 32: 6/3* 10/8               43: 25/22* 22/18 
  5) 53: 25/22 13/8              62: 24/18 13/11 
  6) 33: 24/21 21/18 6/3 6/3     32: 24/21 13/11 
  7) 13: 22/21 21/18             66: 21/15 15/9 11/5 9/3* 
  8) 53: 25/22* 13/8             61: 25/24 11/5 
  9) 42: 22/18 8/6               13: 5/4 6/3 
 10) 61: 8/2 2/1*                13: 25/24* 24/21 
 11) 61: 25/24 24/18             34: 21/18 8/4 
 12) 54: 18/13 13/9              32: 18/16* 16/13 
 13) 61: 25/24 24/18             22: 18/16 18/16 16/14 16/14 
 14) 55: 18/13 18/13 13/8 13/8   61: 14/8 14/13 
 15) 41: 8/4 8/7                 64: 13/9 9/3 
 16) 61: 8/2 5/4                 32: 13/10 10/8 
 17) 65: 13/7 13/8               43: 8/4 5/2 
 18) 62: 8/2 7/5                 65: 8/2 6/1 
 19) 62: 7/1 6/4                 52: 6/1 4/2 
 20) 32: 4/1 8/6                 43: 8/4 8/5 
 21) 52: 6/1 6/4                 41: 5/1 4/3 
 22) 55: 18/13 18/13 13/8 13/8   21: 13/11 13/12 
 23) 63: 8/2 8/5                 51: 12/7 7/6 
 24)  Doubles => 2                Drops
      Wins 1 point               

 
