Game3
 Jon Royset : 0                  Mosche Tissona : 2
  1)                             13: 8/5 6/5 
  2) 52: 13/8 24/22              22: 24/22 13/11 6/4 6/4 
  3) 62: 22/16 16/14*            64: 25/21 22/16 
  4) 62: 14/8 24/22              44: 24/20 20/16 13/9 13/9 
  5) 41: 8/4* 4/3                 Doubles => 2
  6)  Takes                      54: 25/20 20/16 
  7) 62: 13/7 6/4                61: 16/10 10/9 
  8) 21: 7/5 6/5                 42: 9/5 5/3* 
  9) 21: 25/23 4/3               52: 8/3 8/6 
 10) 61: 13/7 8/7                63: 16/10 16/13 
 11) 63: 23/17 17/14             63: 13/7 7/4 
 12) 32: 14/11 8/6               62: 13/7 13/11 
 13) 65: 11/5 13/8               63: 11/5 9/6 
 14) 22: 8/6 8/6 7/5 6/4         32: 9/6 7/5 
 15) 65: 13/7 7/2                32: 10/7 7/5 
 16) 32: 7/4 6/4                 33: 6/3 3/0 3/0 3/0 
 17) 62: 8/2 2/0                 31: 6/3 5/4 
 18) 61: 6/0 2/1                 11: 4/3 3/2 2/1 1/0 
 19) 21: 4/2 1/0                 53: 5/0 3/0 
 20) 61: 6/0 5/4                 32: 6/3 4/2 
 21) 21: 3/1 1/0                 65: 6/0 5/0 
 22) 61: 6/0 4/3                 31: 4/1 1/0 
 23) 62: 6/0 2/0                 44: 6/2 5/1 5/1 4/0 
 24) 65: 5/0 5/0                 32: 3/0 2/0 
 25) 11: 5/4 3/2 2/1 1/0         62: 2/0 1/0 
 26) 61:                          Wins 2 points

 
