Game2
 Rumen : 1                              Jaflo : 0
  1) 41: 13/9 6/5                       55: 13/3(2)
  2) 52: 9/4 6/4                        31: 24/20*
  3) 61: bar/18                         52: 20/13
  4) 52: 18/11                          62: 24/16
  5) 32: 13/10 11/9*                    51: bar/24 13/8
  6) 52: 13/6                           43: 8/4 6/3
  7) 62: 13/7 9/7                       64: 24/14
  8) 21: 24/21*                         61: bar/24 14/8
  9) 51: 10/5 6/5                       43: 8/4* 4/1*
  10)  Doubles => 2                      Drops
  11)  Wins 1 point                     

 
