Game4
 Higatsberger : 4                Sürmeyan : 3
  1)                             64: 8/2 6/2 
  2) 62: 24/18 13/11             61: 13/7* 8/7 
  3) 42: 25/21 13/11             53: 8/3 6/3 
  4) 41: 24/20 21/20             42: 13/9 9/7 
  5) 32: 13/10 10/8              52: 6/1 24/22 
  6) 64: 8/2 6/2                 22: 24/22 22/20 22/20 3/1 
  7) 43: 8/4 6/3                 43: 20/16 16/13 
  8) 31: 8/5* 4/3                65: 25/20* 13/7 
  9) 32: 25/22* 22/20            51: 25/20 7/6 
 10) 61: 20/14 14/13             43: 20/17* 17/13 
 11) 54: 25/20 20/16             62: 13/7 6/4 
 12) 62: 13/7 7/5*               64: 25/21 13/7 
 13) 41: 20/16 6/5               31: 7/4 7/6 
 14) 61: 20/14 14/13             65: 21/15 15/10 
 15) 52: 13/8 11/9                Doubles => 2
 16)  Takes                      61: 10/4 4/3 
 17) 31: 8/5 5/4                 63: 7/1 6/3 
 18) 44: 13/9 13/9 11/7 9/5      22: 13/11 13/11 7/5 6/4 
 19) 51: 9/4 7/6                 63: 11/5 11/8 
 20) 55: 16/11 16/11 11/6 11/6   52: 8/3 7/5 
 21) 64: 9/5 6/0                 21: 2/0 1/0 
 22) 65: 6/0 5/0                 63: 6/0 3/0 
 23) 32: 3/0 2/0                 55: 5/0 5/0 5/0 4/0 
 24) 64: 6/0 4/0                 51: 4/0 1/0 
 25) 51: 6/1 1/0                 52: 4/0 2/0 
 26) 64: 6/0 4/0                 62: 3/0 3/1 
                                  Wins 2 points

 
