Game8
 Gensoku : 6                     daichan : 6
  1) 51: 13/8 24/23              41: 6/2 2/1                 
  2) 54: 25/21 25/20             21: 13/11 6/5               
  3) 43: 25/21 13/10             66: 11/5 24/18 24/18 8/2    
  4) 61: 10/4 6/5                44: 18/14 18/14 14/10 14/10 
  5) 52: 8/3 6/4                  Doubles => 2               
  6)  Takes                      43: 13/9 9/6                
  7) 31: 8/5 8/7                 61: 13/7 7/6                
  8) 53: 13/8 6/3                65: 8/2 8/3                 
  9) 21: 8/6 8/7                 51: 6/1 6/5                 
 10) 33: 7/4 7/4 4/1 4/1         61: 10/9 9/3                
 11) 43: 6/2 5/2                 52: 10/5 5/3                
 12) 21: 6/4 6/5                 41: 6/2 2/1                 
 13) 11: 5/4 5/4 4/3 4/3         62: 13/7 7/5                
 14) 42: 13/9 13/11              61: 13/7 7/6                
 15) 62: 11/5 9/7                53: 5/0 3/0                 
 16) 51: 7/2 3/2                 54: 5/0 6/2                 
 17) 64: 21/15 15/11             32: 2/0 3/0                 
 18) 51: 11/6 6/5                44: 6/2 6/2 5/1 5/1         
 19) 41: 21/17 17/16             41: 3/0 1/0                 
 20) 54: 16/11 11/7              66: 2/0 2/0 2/0 2/0         
 21) 66: 7/1 5/0 5/0 4/0         66: 1/0 1/0 1/0 1/0         
                                  Wins 2 point



 
