Game14
 STEPHAN NUNIYANTS : 7                 MALCOLM DAVIS : 10
  1) 21: 13/11 6/5                     55: 13/3(2)                       
  2) 51: 13/8 6/5                      11: 24/22 6/5(2)                  
  3) 51: 24/23 8/3*                    63: Bar/22* 24/18                 
  4) 43: Bar/21 24/21                  65: 22/16 18/13                   
  5) 51: 13/7                          51: 16/11 6/5                     
  6) 21: 11/9 8/7                      41: 11/7 8/7                      
  7) 52: 23/21 9/4                     65: 13/8 13/7                     
  8) 64: 21/11                         53: 8/3 5/2                       
  9) 44: 8/4 7/3(2) 6/2                62: 7/1 3/1                       
 10) 11: 11/7                          31: 8/7 8/5                       
 11) 41: 7/2                           43: 7/3 5/2                       
 12) 61: 8/1                           41: 7/6 7/3                       
 13) 55: 21/1                          54: 13/4*                         
 14) 52: Cannot Move                   42: 13/9 6/4                      
 15) 44: Cannot Move                   64: 9/5 6/Off                     
 16) 41: Cannot Move                   54: 6/2 5/Off                     
 17) 63: Bar/16                        64: 5/Off 4/Off                   
 18) 31: ????                           Wins 2 point and the match




