Game3
 Sabri : 2                             Jeremy Bagai : 0
  1)                                   52: 24/22 13/8                    
  2) 43: 24/21 24/20                   66: 13/7(2) 8/2(2)                
  3) 61: 21/20 8/2                     64: 24/18 22/18                   
  4) 42: 13/11 6/2                     52: 18/16 18/13                   
  5) 54: 13/8 13/9*                    66: Cannot Move                   
  6) 51: 11/6 9/8                      21: Bar/24 6/4                    
  7) 64: 8/2 6/2                       54: 24/15                         
  8) 41: 8/4 2/1                       31: 6/3 4/3                       
  9) 52: 8/3 6/4                       54: 15/6                          
 10) 41: 8/4 2/1                       22: 13/11(3) 6/4                  
 11) 54: 13/9 13/8                     11: 11/7                          
 12) 53: 8/3 6/3                       54: 11/7 11/6                     
 13) 33: 9/3 6/3(2)                    41: 7/2                           
 14) 33: 4/1(3)                        65: 7/1 6/1                       
 15) 31: 3/2                            Doubles => 2                     
 16)  Drops                             Wins 1 point



 
