Game2
 Nagib Salamzy : 4               Mario Kuehl : 0
  1) 32: 24/21 13/11             51: 13/8 24/23 
  2) 62: 21/15 15/13             65: 24/18 23/18 
  3) 31: 13/10 11/10             31: 8/5 6/5 
  4) 11: 24/23 23/22 6/5 6/5     52: 13/8 13/11 
  5) 62: 22/16 16/14*            65: 
  6) 53: 14/9 9/6                43: 25/22 8/4 
  7) 66: 10/4 10/4 8/2 8/2       11: 18/17* 18/17 6/5 5/4 
  8) 65:                         62: 22/16 16/14 
  9) 64:                         64: 8/2 6/2 
 10) 52:                          Doubles => 2
 11)  Drops                       Wins 1 point

 
