Game4
 uco : 2                         minack : 2
  1) 43: 13/9 24/21              66: 24/18 24/18 13/7 13/7   
  2) 42: 13/9 6/4                32: 7/4 6/4                 
  3) 53: 25/20 6/3                Doubles => 2               
  4)  Takes                      54: 8/3 7/3                 
  5) 63: 13/10 10/4              64: 13/7 7/3                
  6) 22: 8/6 6/4 13/11 13/11     32: 8/5 3/1                 
  7) 53: 25/20                   65: 25/20 13/7              
  8) 42: 25/23 20/16             51: 7/2 2/1                 
  9) 32: 25/23 6/3               52: 13/8 20/18              
 10) 42: 8/4 8/6                 21: 6/4 4/3                 
 11) 11: 4/3 4/3 3/2 3/2         32: 18/15 15/13             
 12) 62: 16/10 10/8              21: 18/17 17/15             
 13) 63:                         66: 8/2 8/2 15/9 18/12      
 14) 66:                         33: 13/10 10/7 12/9 9/6     
 15) 42:                         42: 9/5 7/5                 
 16) 52:                         11: 6/5 3/2 2/1 1/0         
 17) 42:                         42: 6/2 5/3                 
 18) 65:                         42: 6/2 6/4                 
 19) 32:                         11: 2/1 1/0 4/3 3/2         
 20) 55:                         22: 2/0 2/0 5/3 5/3         
 21) 64: 25/19                   55: 4/0 4/0 3/0 3/0         
 22) 65: 25/19 11/6              42: 3/0 2/0                 
 23) 65: 19/13 11/6              51: 3/0 1/0                 
 24) 54: 19/14 14/10             53: 3/0 2/0                 
 25) 11: ???                      Wins 2 point



 
