Game6
 Gyl Savoie : 6                  David Rubin : 2
  1)                             61: 13/7 8/7 
  2) 35: 8/3 6/3                 44: 24/20 24/20 13/9 13/9 
  3) 44: 24/20 24/20 13/9 13/9   51: 9/4 9/8 
  4) 42: 13/9 6/4                41: 6/2 8/7 
  5) 11: 9/8 8/7 8/7 8/7         31: 6/3 3/2 
  6) 63: 9/3 9/6                 65: 13/7 13/8 
  7) 24: 6/2 6/4                 41: 7/3 4/3 
  8) 26: 7/1 3/1                 52: 8/3 3/1 
  9) 12: 3/1 3/2                 46: 7/1 6/2 
 10) 16: 13/7 7/6                11: 8/7 8/7 7/6 2/1 
 11) 46: 20/14 20/16             66: 20/14 20/14 14/8 14/8 
 12) 33: 14/11 13/10 11/8 8/5     Doubles => 2
 13)  Takes                      52: 8/3 7/5 
 14) 43: 16/12 7/4               56: 8/2 7/2 
 15) 42: 10/6 7/5                36: 7/4 6/0 
 16) 42: 12/8 8/6                43: 4/0 3/0 
 17) 62: 6/0 2/0                 42: 6/2 2/0 
 18) 23: 6/3 2/0                 41: 6/2 1/0 
 19) 13: 3/0 1/0                 53: 5/0 3/0 
 20) 41: 4/0 1/0                 42: 3/0 2/0 
 21) 52: 5/0 6/4                 52: 2/0 2/0 
 22) 44: 6/2 4/0 4/0 4/0         64: 2/0 2/0 
 23) 54: 5/0 6/2                  Wins 2 points

 
