Game17
 Scalamandre : 11                Holm : 12
  1)                             53: 8/3 6/3 
  2) 65: 24/18 18/13             41: 13/9 24/23 
  3) 21: 13/11 11/10             62: 23/21 21/15* 
  4) 41: 25/24 13/9              31: 8/5 6/5 
  5) 51: 6/1* 24/23               Doubles => 2
  6)  Takes                      54: 25/20 20/16* 
  7) 63:                         52: 9/4 6/4 
  8) 52: 25/23 13/8              11: 16/15 15/14 15/14 8/7 
  9) 66: 24/18* 13/7 13/7 13/7   51: 25/24* 13/8 
 10) 65:                         54: 13/8 14/10 
 11) 33:                         54: 24/20 20/15 
 12) 55:                         65: 13/7* 14/9 
 13) 65:                         54: 15/10 10/6 
 14) 64:                         42: 8/4 9/7 
 15) 54:                         54: 10/5 7/3 
 16) 22: 25/23 25/23 7/5 7/5     51: 6/1 8/7 
 17) 43: 8/4 7/4                 41: 5/1 13/12 
 18) 55: 8/3 8/3 6/1 6/1         54: 12/7 7/3 
 19) 43: 8/4 4/1                 62: 7/1 7/5 
 20) 53: 23/18 18/15             51: 6/1 6/5 
 21) 65: 23/17 17/12             11: 1/0 1/0 1/0 1/0 
 22) 41: 15/11 11/10             44: 5/1 4/0 4/0 4/0 
 23) 65: 12/6 23/18              51: 5/0 1/0 
 24) 63: 18/12 12/9              51: 5/0 5/4 
 25) 21: 23/21* 9/8              21: 25/23 3/2 
 26) 53: 10/5 5/2*               52: 25/23* 23/18 
 27) 65: 25/20 8/2               61: 18/12 3/2 
 28) 54: 20/15 15/11             33: 12/9 9/6 6/3 3/0 
 29) 65: 21/15 11/6              52: 3/0 2/0 
 30) 62: 15/9 9/7                52: 3/0 2/0 
                                  Wins 4 points

 
