Game2
 Scalamandre : 1                 Holm : 0
  1)                             21: 13/11 6/5 
  2) 22: 24/22 22/20* 6/4 6/4    11: 25/24 24/23 6/5* 6/5 
  3) 51: 25/24 13/8              43: 24/20 23/20 
  4) 41: 8/4 24/23               53: 11/6 13/10 
  5) 42: 6/2 4/2                 43: 24/20 13/10 
  6) 63: 13/7 24/21              66: 10/4* 10/4 8/2* 8/2 
  7) 62:                         11: 8/7 7/6 6/5 5/4 
  8) 42:                         32: 13/10 20/18* 
  9) 42:                         42: 13/9 10/8 
 10) 62:                         32: 18/15 9/7 
 11) 52:                         62: 15/9 9/7 
 12) 32: 25/22                   42: 7/3* 7/5 
 13) 42:                         42: 20/16 5/3 
 14) 32:                         63: 16/10 10/7 
 15) 52:                         43: 20/16 8/5 
 16) 32:                         22: 16/14 7/5 5/3 4/2 
 17) 33:                         31: 14/11 11/10 
 18) 66:                         52: 6/1 3/1 
 19) 53:                         21: 10/8 8/7 
 20) 55:                         55: 7/2 6/1 6/1 5/0 
 21) 64: 25/19                   32: 5/2 5/3 
 22) 42:                         53: 4/0 4/1 
 23) 31:                         33: 3/0 3/0 3/0 2/0 
 24) 41: 25/21                   64: 2/0 2/0 
 25) 61: 25/19 19/18             33: 2/0 2/0 1/0 1/0 
 26) 41: 21/17 19/18             11: 1/0 1/0 1/0 
                                  Wins 2 points

 
