Game1
 Schiemann : 0                          othello : 0
  1) 61: 13/7 8/7                       11: 8/7(2) 6/5(2)
  2) 65: 13/8 13/7                      43: 24/21 24/20
  3) 42: 8/4* 6/4                       63: bar/22 20/14
  4) 52: 24/17*                         43: bar/22 14/10
  5) 54: 17/8                           21: 13/10
  6) 42: 24/22 6/2                      31: 10/9 6/3*
  7) 62: bar/23 8/2                     21: 10/8 9/8
  8) 53: 13/10 13/8                     44: 13/5 13/9(2)
  9) 41: 23/22* 10/6                    55: bar/10 13/8
  10) 61: 22/15*                        43: bar/22 8/4
  11)  Doubles => 2                      Drops
  12)  Wins 1 point                     

 
