Game10
 Hollederer,1920 : 8             Schiemann,1960 : 5
  1)                             21: 13/11 6/5 
  2) 32: 13/10 13/11             53: 13/8 8/5 
  3) 51: 10/5 6/5                64: 24/18 18/14* 
  4) 55:                          Doubles => 2
  5)  Takes                      63: 14/8 8/5 
  6) 64: 25/21 21/15             11: 11/10* 6/5 5/4 5/4 
  7) 54:                         32: 8/5 13/11 
  8) 53: 25/22 6/1*              43: 25/21 6/3* 
  9) 53: 25/22* 6/1              43: 25/21 11/8 
 10) 64: 24/18 22/18             32: 8/5 10/8 
 11) 65: 24/18 18/13             54: 8/3 5/1 
 12) 63: 13/7 8/5                61: 8/2 2/1 
 13) 21: 8/6 8/7                 31: 8/5 5/4 
 14) 53: 13/8 8/5                52: 21/16 5/3 
 15) 52: 6/1 5/3                 53: 16/11 11/8 
 16) 32: 5/2 3/1                 52: 8/3 4/2 
 17) 66: 13/7 13/7 7/1 7/1       51: 21/16 3/2 
 18) 52: 7/2 7/5                 53: 16/11 11/8 
 19) 21: 18/17* 17/15            62: 
 20) 41: 15/11 18/17             64: 25/21 13/7 
 21) 64: 17/11 5/1               44: 13/9 9/5 7/3 5/1 
 22) 32: 11/8 8/6                43: 21/17 17/14* 
 23) 55:                         54: 14/9 9/5 
 24) 53:                         43: 5/1 3/0 
 25) 41:                         62: 6/0 6/4 
 26) 64: 25/19 19/15             22: 4/2 2/0 2/0 2/0 
 27) 62: 15/9 9/7                51: 5/0 1/0 
 28) 22: 7/5 6/4 2/0 2/0         54: 5/0 4/0 
 29) 62: 6/0 5/3                 54: 4/0 3/0 
 30) 42: 6/2 2/0                 55: 3/0 1/0 1/0 1/0
                                  Wins 2 points 

 
