Game7
 Svobodny : 11                   Seidel : 3
  1) 42: 8/4 6/4                 33: 8/5 8/5 6/3 6/3 
  2) 22: 13/11 13/11 11/9 11/9   41: 13/9 9/8 
  3) 31: 8/5 6/5                 51: 13/8 24/23 
  4) 62: 13/7 9/7                31: 13/10 24/23 
  5) 53: 13/8 24/21              43: 8/4* 4/1* 
  6) 43: 25/21                   66: 13/7 13/7 10/4* 7/1 
  7) 66:                         51: 8/3 23/22 
  8) 43: 25/21*                  32: 25/22 6/4* 
  9) 66:                         31: 7/4 23/22 
 10) 66:                         64: 22/16* 16/12* 
 11) 66:                         22: 12/10 10/8 8/6 6/4 
 12) 66:                          Doubles => 2
 13)  Drops                       Wins 1 point

 
