Game15
 Granstedt : 13                  Sequeira : 13
  1)                             54: 13/8 24/20 
  2) 32: 8/5* 13/11              51: 25/20* 24/23 
  3) 61: 25/24 11/5*             31: 25/24 23/20* 
  4) 32: 25/22 24/22             64: 20/14 14/10 
  5) 43: 22/18 18/15*            44: 25/21 24/20 8/4 8/4 
  6) 53: 15/10 13/10             43: 20/16 16/13 
  7) 42: 8/4* 6/4                42: 25/23 13/9 
  8) 54: 13/8 6/2*               33: 25/22 13/10 6/3* 6/3 
  9) 51: 25/20 2/1                Doubles => 2
 10)  Drops                       Wins 1 point

 
