Game6
 Levermann : 2                   Svobodny : 3
  1) 31: 8/5 6/5                 54: 13/8 13/9 
  2) 54: 13/8 13/9               42: 8/4 6/4 
  3) 62: 24/18 18/16*            43: 25/22 13/9* 
  4) 64:                         64: 22/16* 13/9 
  5) 53: 25/20 25/22             51: 8/3* 6/5* 
  6) 54: 25/20*                  62: 25/23 9/3 
  7) 63:                          Doubles => 2
  8)  Takes                      63: 16/10 8/5* 
  9) 66:                         52: 10/5 9/7 
 10) 65:                         63: 24/18 18/15 
 11) 64:                         31: 15/14 14/11 
 12) 42: 25/23                   51: 7/2* 2/1* 
 13) 66:                         41: 6/2 2/1 
 14) 41:                         64: 11/5 13/9 
 15) 32: 25/23                   41: 23/22 22/18 
 16) 21: 25/23                   22: 24/22 18/16 16/14 8/6 
 17) 21: 25/23 6/5               65: 22/16 14/9 
 18) 41: 13/9* 13/12             54: 25/21 21/16* 
 19) 32: 25/23 12/9*             66: 
 20) 64: 23/17 13/9              63: 25/22 9/3 
 21) 54: 17/12 12/8              61: 22/21 21/15 
 22) 51: 9/4 5/4                 55: 15/10 10/5 9/4 6/1 
 23) 62: 23/17 9/7               53: 6/1 6/3 
 24) 31: 17/14 8/7               52: 5/0 3/1 
 25) 62: 14/8 8/6                32: 4/1 5/3 
 26) 51: 23/18 18/17             63: 5/0 5/2* 
 27) 41:                         44: 4/0 4/0 3/0 3/0 
 28) 32: 25/23* 17/14            53: 25/22 
 29) 21: 6/4 4/3*                51: 25/24 
 30) 42: 8/4 14/12               66: 
 31) 53: 12/7 6/3                21: 3/1 3/2* 
 32)  Doubles => 4                Drops
      Wins 2 points              

 
