Game8
 Svobodny : 9                    Heinrich : 4
  1)                             54: 13/8 13/9 
  2) 55: 13/8 13/8 8/3 8/3       33: 24/21 24/21 8/5 8/5 
  3) 22: 24/22 24/22 13/11 11/9   Doubles => 2
  4)  Takes                      53: 21/16* 16/13 
  5) 66:                         54: 21/16 13/9 
  6) 52: 25/23 23/18             66: 16/10 13/7* 13/7 13/7 
  7) 53: 25/22 13/8              32: 7/4 6/4 
  8) 64: 13/7 8/4                63: 10/4 4/1 
  9) 64: 8/2 8/4                 63: 8/2 8/5 
 10) 11: 7/6 6/5 6/5 6/5         52: 9/4 9/7 
 11) 64: 22/16 6/2               11: 7/6 7/6 7/6 6/5 
 12) 11: 16/15 15/14 8/7 7/6     53: 6/1 5/2 
 13) 52: 14/9 9/7                52: 6/1 6/4 
 14) 43: 5/1 7/4                 64: 6/0 5/1 
 15) 11: 6/5 4/3 3/2 2/1         65: 6/0 6/1 
 16) 61: 22/16 16/15             53: 5/0 5/2 
 17) 51: 15/10 10/9              43: 4/0 4/1 
 18) 43: 9/5 5/2                 65: 4/0 4/0 
 19) 61: 22/16 16/15             41: 2/0 1/0 
 20) 31: 15/12 12/11             43: 2/0 2/0 
                                  Wins 2 points

 
