Game13
 Johanni : 11                    Svobodny : 8
  1) 32: 24/21 13/11             62: 24/18 6/4* 
  2) 65: 25/20 13/7*             64: 25/21 24/18* 
  3) 32: 25/23 24/21*            21: 25/23 6/5* 
  4) 63: 25/22 13/7*             41: 25/21 6/5 
  5) 61: 22/16 8/7               65: 13/7 7/2* 
  6) 52: 25/23* 21/16            61: 25/24 13/7 
  7) 54: 23/18* 18/14            64: 25/21 13/7 
  8) 51: 14/9 9/8                42: 8/4 8/6 
  9) 52: 13/8 13/11              22: 8/6 7/5 6/4 5/3 
 10) 53: 8/3 6/3                 41: 24/20 21/20 
 11) 64: 8/2* 6/2                42: 25/21 6/4 
 12) 22: 16/14 16/14 11/9 11/9   44: 13/9 13/9 9/5 9/5 
 13)  Doubles => 2                Takes
 14) 62: 14/8 14/12              53: 6/1 5/2 
 15) 32: 12/9 9/7                42: 6/2 5/3 
 16) 43: 7/3 6/3                 33: 5/2 5/2 4/1 4/1 
 17) 62: 9/3 9/7                 11: 21/20 4/3 2/1 2/1 
 18) 55: 8/3 8/3 8/3 7/2         51: 20/15 15/14 
 19) 51: 7/2 7/6                 61: 14/8 8/7 
 20) 62: 6/0 2/0                 42: 20/16 16/14 
 21) 31: 3/0 3/2                 65: 21/15 15/10 
 22) 42: 6/2 6/4*                65: 25/19 20/15 
 23) 64: 4/0 3/0                 64: 15/9 10/6 
 24) 62: 3/0 2/0                 22: 19/17 17/15 14/12 7/5 
 25) 64: 3/0 3/0                 64: 12/6 15/11 
 26) 64: 3/0 3/0                 64: 11/5 9/5 
 27) 21: 2/0 2/1                 51: 5/0 1/0 
 28) 22: 2/0 2/0 1/0             
      Wins 2 points              

 
