Game4
 Kazuhiko,1654 : 1                Switon,1485 : 3
  1) 54: 13/8 13/9               52: 13/8 13/11
  2) 52: 9/4 6/4                 36: 11/5 8/5
  3) 43: 24/21 13/9              34: 8/4 13/10
  4) 55:                         43: 8/4 8/5
  5) 35: 25/22 9/4               15: 10/5 5/4
  6) 16: 13/7 8/7                65: 13/7 6/1
  7) 45:                         63: 7/1 6/3
  8) 15:                         22: 5/3 6/4 4/2 4/2
  9) 63:                         65: 13/7 7/2
 10) 46:                         31: 24/23 23/20
 11) 61:                         15: 20/15 2/1
 12) 53:                         16: 15/9 24/23
 13) 31:                         32: 23/20 9/7
 14) 31:                         56: 20/14 7/2
 15) 25:                         32: 14/12 12/9
 16) 42:                         63: 9/3 3/0
 17) 12:                         64: 6/0 6/2
 18) 43:                         11: 2/1 2/1 1/0 1/0
 19) 35:                         65: 5/0 5/0
 20) 56: 25/19 25/20             23: 4/1 4/2
 21) 22:                         66: 3/0 3/0 2/0 2/0
 22) 64: 25/19 20/16             66: 2/0 1/0 1/0 1/0
 23) 44: 19/15 19/15 15/11 15/11 63: 1/0
                                  Wins 2 points

 
