Game4
 TJ : 4                                cameron : 5
  1)                                   53: 8/3 6/3                       
  2) 43: 24/21 13/9                    41: 24/23 8/4*                    
  3) 61: Bar/24 8/2*                   62: Bar/23* 24/18                 
  4) 21: Bar/24 9/7*                   64: Bar/15                        
  5) 41: 24/23 6/2*                    65: Bar/20 8/2*                   
  6) 21: Bar/23* 6/5*                  51: Bar/24 Bar/20*                
  7) 65: Bar/20 13/7                   31: 24/23* 23/20                  
  8) 32: Bar/23 24/21*                 53: Bar/22 20/15                  
  9) 63: 24/18 21/18                   52: 22/15                         
 10) 21: 7/5* 6/5                      31: Bar/22 6/5*                   
 11) 21: Bar/23 7/6                    65: 22/11                         
 12) 43: 23/20* 18/14*                 41: Bar/24 Bar/21                 
 13) 42: 8/4* 6/4                      55: Cannot Move                   
 14)  Doubles => 2                      Takes                            
 15) 43: 23/20 18/14                   32: Bar/22 24/22                  
 16) 65: 23/17 13/8                    42: 13/7                          
 17) 62: 20/14 20/18*                  22: Bar/23 15/13 6/4(2)           
 18) 64: 18/14 17/11                   65: 13/8 13/7                     
 19) 43: 14/7                          64: 22/18* 13/7                   
 20) 64: Bar/19* 11/7*                 44: Cannot Move                   
 21) 43: 8/5 7/3*                      62: Bar/23                        
 22) 32: 14/11 5/3                     54: Cannot Move                   
 23) 52: 19/17* 11/6                   51: Bar/24                        
 24) 44: 13/1* 8/4                     64: Cannot Move                   
 25) 54: 17/13 6/1                     66: Cannot Move                   
 26) 61: 14/7                          11: Cannot Move                   
 27) 55: 14/9 13/8 13/3                63: Cannot Move                   
 28) 65: 9/3 8/3                       61: Cannot Move                   
 29) 63: 7/1 3/Off                     31: Cannot Move                   
 30) 54: 5/1 5/Off                     33: Cannot Move                   
 31) 51: 6/Off                         32: Bar/23                        
 32) 65: 6/Off 4/Off                   61: Bar/19                        
 33) 61: 4/3 4/Off                     65: Bar/19 23/18                  
 34) 64: 3/Off(2)                      41: 23/18                         
 35) 52: 3/1 3/Off                     52: ????                          
      Wins 4 point



 
