Game2
 TJ : 0                                shimohei : 2
  1) 62: 24/18 13/11                   63: 24/21 13/7*                   
  2) 61: Bar/18*                       42: Bar/21 6/4                    
  3) 52: 18/11                         32: 13/10 6/4                     
  4) 31: 8/5 6/5                       64: 8/2 6/2                       
  5) 44: 13/9(2) 11/7(2)               43: 24/21 10/6                    
  6)  Doubles => 2                      Takes                            
  7) 66: 24/18 13/7 13/1               62: 13/11 13/7*                   
  8) 41: Bar/20                        52: 13/8 7/5*                     
  9) 61: Bar/18                        41: 11/7* 6/5                     
 10) 42: Cannot Move                   43: 8/5 8/4                       
 11) 32: Bar/22 7/5                    44: 7/3* 5/1(3)                   
 12) 33: Bar/22* 6/3(2) 5/2            63: Cannot Move                   
 13) 22: 22/14                         65: Cannot Move                   
 14) 22: 14/6                          63: Cannot Move                   
 15) 44: 9/5 9/1 6/2                   55: Cannot Move                   
 16) 41: 7/6 7/3                       32: Cannot Move                   
 17) 53: 8/5 8/3                       33: Cannot Move                   
 18) 62: 6/Off 3/1                     21: Cannot Move                   
 19) 41: 6/5 6/2                       33: Cannot Move                   
 20) 63: 5/Off 3/Off                   63: Bar/16                        
 21) 62: 5/3 5/Off                     21: 21/18                         
 22) 61: 5/Off 1/Off                   61: 21/20* 20/14                  
 23) 32: Bar/20                        21: 8/5*                          
 24) 65: Bar/20* 20/14                 52: Bar/20 16/14                  
 25) 65: 14/3                          41: 21/17 20/19                   
 26) 61: 3/Off 1/Off                   41: 19/18 14/10                   
 27) 42: 3/Off 2/Off                   66: 18/6(2)                       
 28) 62: 3/Off 2/Off                   21: ????                          
      Wins 4 point



 
