Game9
 vanillasky : 12                       TJ : 4
  1)                                   64: 8/2 6/2                       
  2) 43: 13/10 13/9                    11: 8/7(2) 6/5(2)                 
  3) 31: 8/5 6/5                       42: 24/18                         
  4) 41: 13/9 10/9                     51: 24/18                         
  5) 61: 9/3 6/5                       61: 13/6                          
  6) 32: 24/21 5/3                     52: 13/8 6/4*                     
  7) 33: Bar/22 24/21* 13/10(2)        52: Bar/23 13/8                   
  8) 21: 22/21 6/4                     21: 23/21* 13/12                  
  9) 65: Cannot Move                   43: 21/14                         
 10) 52: Cannot Move                   32: 13/10 12/10                   
 11) 42: Bar/21 6/4                     Doubles => 2                     
 12)  Takes                            63: 14/5                          
 13) 22: 10/6(2)                       53: 18/15 18/13                   
 14) 64: 8/4 8/2                       61: 13/6                          
 15) 51: 9/8 9/4                       65: 8/3 8/2                       
 16) 54: 21/12                         64: 15/5                          
 17) 21: 8/7 4/2                       51: 6/1 2/1                       
 18) 53: 12/4                          66: 7/1(2)                        
 19) 55: 21/1                          43: 6/3 6/2                       
 20) 31: 6/5 4/1                       66: 10/4*(2) 5/Off(2)             
 21) 54: Cannot Move                   66: 5/Off(2) 4/Off(2)             
 22) 41: Bar/21 7/6                    31: 3/Off 1/Off                   
 23) 64: 21/11                         21: 2/Off 1/Off                   
 24) 11: ????                           Wins 2 point



 
