Game18
 tardieu : 11                    svobo : 12
  1)                             45: 13/8 24/20 
  2) 41: 13/9 6/5*               32: 25/22 22/20* 
  3) 53: 25/20 8/5*              31: 25/22 6/5* 
  4) 51: 25/20* 6/5              51: 25/24 13/8 
  5) 66: 20/14 13/7 13/7 9/3*    41: 25/21 6/5 
  6) 21: 6/4* 4/3                62: 25/23 13/7 
  7) 33: 24/21 21/18* 7/4 7/4    41: 25/24 5/1* 
  8) 31: 25/24* 14/11            41: 25/24 8/4 
  9) 54: 11/6 6/2*               66: 
 10) 63: 8/2 24/21*              55: 
 11) 64: 13/7 18/14              66: 
 12) 54: 21/16 14/10             55: 
 13) 61: 16/10 7/6               66: 
 14) 64: 10/4 13/9               61: 25/24 
 15) 62: 10/4 8/6                66: 
 16) 32: 9/6 6/4                 41: 25/24 13/9 
 17) 53: 5/0 5/2                 66: 24/18 24/18 18/12 13/7 
 18) 54: 4/0                     64: 18/12 24/20 
 19) 63: 6/0 6/3                 63: 24/18 12/9 
 20) 21: 2/0 3/2                 33: 18/15 15/12 8/5 8/5 
 21) 64: 6/0 6/2                 52: 12/7 12/10 
 22) 44: 4/0 4/0 4/0 4/0         41: 20/16 16/15 
 23) 51: 3/0 3/2                 41: 24/20 20/19 
 24) 62: 2/0 2/0                 54: 19/14 14/10 
 25) 64: 2/0 2/0                 42: 15/11 11/9 
 26) 66: 2/0                     
      Wins 2 points and the match
