Game16
 Tardieu : 11                    Mortuk : 14
  1)                             62: 24/18 13/11 
  2)  Doubles => 2                Takes
  3) 64: 24/18 18/14*            23: 25/22 13/11* 
  4) 51: 25/20 8/7*              65: 25/20 24/18* 
  5) 55: 25/20 20/15 20/15 13/8  52: 18/13 22/20 
  6) 13: 24/21 15/14*            22: 25/23 13/11* 6/4* 6/4 
  7) 51: 25/20 25/24             35: 13/10* 10/5* 
  8) 26: 25/23                   33: 23/20 13/10 13/10 8/5 
  9) 53: 25/22 13/8              41: 20/16 11/10 
 10) 13: 6/3 23/22               24: 16/14 14/10 
 11) 52: 8/3 6/4                 52: 10/5 10/8 
 12) 24: 8/4 24/22               21: 4/2 5/4 
 13) 46: 22/16 16/12             26: 8/2 6/4 
 14) 55: 13/8 12/7 8/3 7/2       46: 10/4 10/6 
 15) 46: 22/16 22/18             42: 6/2 4/2 
 16) 44: 18/14 14/10 10/6 6/2    35: 8/3 4/1 
 17) 54: 13/8 8/4                55: 20/15 20/15 15/10 15/10 
 18) 54: 16/11 13/9              55: 10/5 10/5 8/3 5/0 
 19) 51: 11/6 6/5                21: 2/0 1/0 
 20) 11: 8/7 8/7 7/6 7/6         21: 2/0 2/1 
 21) 42: 9/5 2/0                 21: 2/0 1/0 
 22) 21: 3/1 1/0                 51: 5/0 3/2 
 23) 62: 6/0 2/0                 54: 5/0 4/0 
 24) 43: 4/0 3/0                 65: 6/0 5/0 
 25) 65: 6/0 5/0                 33: 6/3 4/1 3/0 3/0 
 26) 43: 4/0 3/0                 21: 2/0 1/0 
                                  Wins 1 point and the match
