Game5
 RivedTardieu : 1                BondoAndersen : 9
  1)                             54: 13/8 24/20 
  2) 31: 8/5* 6/5                11: 25/24 24/23 6/5 6/5 
  3) 43: 6/2* 24/21              31: 25/22 24/23* 
  4) 32: 25/23 24/21             41: 22/18 23/22 
  5) 41: 8/7* 7/3*               31: 25/22* 25/24 
  6) 43: 25/21 8/5               63: 22/16 16/13 
  7) 42: 13/9 13/11              21: 24/22 22/21 
  8) 62: 21/15 6/4*              43: 25/21* 13/10* 
  9) 61: 25/24                    Doubles => 2
 10)  Takes                      21: 13/11 11/10 
 11) 31: 25/22 23/22             31: 10/7 8/7 
 12) 55: 21/16 21/16 11/6 9/4*   22: 25/23 8/6 6/4 6/4 
 13) 65: 13/7 7/2*               51: 25/24 10/5 
 14) 53: 6/1* 4/1                64: 25/21 13/7 
 15) 64: 13/7 7/3                62: 21/15 15/13 
 16) 53: 13/8 5/2                63: 13/7 7/4 
 17) 63: 16/10 10/7              64: 7/1* 13/9* 
 18) 51: 25/24*                  42: 25/21 9/7 
 19) 53: 25/22 8/3               43: 21/18* 18/14 
 20) 66:                         53: 14/9 9/6 
 21) 11: 25/24 24/23 24/23 5/4   41: 13/9 9/8 
 22) 33: 6/3 6/3 5/2 4/1         41: 8/4 7/6 
 23) 21: 3/1 2/1                 61: 7/1 7/6 
 24) 32: 3/1                     32: 4/1 6/4 
 25) 51: 23/18 23/22             44: 8/4 8/4 4/0 4/0 
 26) 64: 22/16 22/18             65: 6/0 5/0 
 27) 66: 18/12 18/12 12/6 12/6   42: 6/2 2/0 
 28) 65: 22/16 16/11             53: 5/0 5/2 
 29) 63: 16/10 11/8              11: 4/3* 4/3 2/1 1/0 
 30) 21: 25/23 8/7               43: 4/0 4/1 
 31) 62: 10/4 7/5                31: 3/0 1/0 
 32) 32: 23/20 20/18             44: 6/2 6/2 3/0 2/0 
 33) 25: 18/13 13/11             21: 2/0 1/0 
 34) 32: 11/8 8/6                21: 1/0 
                                  Wins 4 points

 
