Game8
 Tardieu/Wachtel : 2             Natanzon/Arnold : 13
  1)                             61: 13/7 8/7 
  2) 56: 13/7 13/8               42: 24/20 20/18* 
  3) 56: 25/20 13/7*             52: 25/20 20/18* 
  4) 16: 25/24 13/7*             46: 25/21 24/18* 
  5) 12: 25/23 8/7*              26: 25/23 21/15 
  6) 23: 13/10* 24/22            22: 25/23 23/21 7/5* 7/5 
  7) 23: 25/22 6/4*              56: 25/20 20/14 
  8) 36: 24/18 7/4               36: 23/20 20/14 
  9) 53: 23/18 8/5               26: 13/11 11/5 
 10) 24: 22/18 24/22             51: 13/8 6/5 
 11) 45: 10/5 18/14              56: 8/2 6/1 
 12) 66: 22/16 16/10 8/2 8/2     16: 14/8 14/13 
 13) 52: 14/9 10/8               11: 6/5 5/4 5/4 2/1 
 14) 53: 8/3 6/3                 51: 13/8 5/4 
 15) 63: 9/3 6/3                 23: 8/5 8/6 
 16) 46: 22/16 5/1               46: 13/9* 9/3 
 17) 24: 25/23 5/1                Doubles => 2
 18)  Drops                       Wins 1 point

 
