Game9
 minack,1927 : 6                  Thomas1959,1799 : 6
  1) 42: 8/4 6/4                 23: 13/10 13/11
  2) 52: 13/8 24/22              42: 8/4 6/4
  3) 65: 22/16 16/11             63: 11/5 8/5
  4) 53: 8/3 6/3                 45: 13/8 24/20
  5) 64: 11/5 5/1                41: 25/24
  6) 14: 25/24 13/9              31: 25/24 10/7
  7) 56: 24/18 18/13             65: 25/20 20/14
  8) 54: 13/8 13/9               56: 14/8 6/1
  9) 31: 25/24 9/6               56: 25/20 20/14
 10) 53: 9/4 6/3                 42: 14/10 10/8
 11) 11: 8/7 7/6 6/5 6/5         16: 13/7 8/7
 12) 56: 8/2 8/3                 12: 24/23 13/11
 13) 31: 25/22 3/2               41: 25/24 11/7
 14) 54: 13/8 8/4                 Doubles => 2
 15)  Takes                      53: 8/3 6/3
 16) 62: 25/23 13/7              32: 7/4 4/2
 17) 52: 25/23 7/2               13: 25/24 8/5
 18) 64: 23/17 17/13             54: 
 19) 64: 13/7 7/3                32: 
 20) 54: 6/2                     64: 25/19 19/15
 21) 52: 25/23                   12: 15/13 5/4
 22) 26: 23/17 17/15             32: 13/10 10/8
 23) 33:                         35: 24/19 8/5
 24) 45:                         33: 7/4 4/1 4/1 19/16
 25) 36:                         66: 24/18 24/18 18/12 12/6
 26) 21: 25/23                   46: 16/10 6/2
 27) 45:                         32: 5/2 7/5
 28) 35:                         43: 18/14 14/11
 29) 14:                         35: 11/6 10/7
 30) 24:                         66: 7/1 6/0 6/0 6/0
 31) 55:                         63: 5/0 5/2
 32) 33:                         51: 5/0 1/0
 33) 32:                         25: 4/0 4/2
 34) 21:                         41: 3/0 3/2
 35) 56: 25/19 25/20             42: 2/0 2/0
 36) 11: 20/19 19/18 19/18 18/17 12: 2/0 1/0
 37) 36: 17/11 18/15             42: 2/0 2/0
 38) 44: 15/11 11/7 11/7 7/3     44: 1/0
                                  Wins 4 points

 
