Game8
 minack,1926 : 8                 Thomas1959,1787 : 4
  1) 31: 8/5 6/5                 54: 13/8 13/9 
  2) 42: 8/4 6/4                 42: 8/4 6/4 
  3) 54: 13/8 13/9               61: 13/7 8/7 
  4) 43: 13/9 9/6                53: 8/3 6/3 
  5) 55: 13/8 13/8 8/3 8/3       33: 13/10 13/10 9/6 6/3 
  6) 21: 9/7 8/7                 54: 10/5 8/4 
  7) 54: 24/20* 20/15*           52: 25/23 
  8) 63: 15/9 8/5                32: 25/23 4/1* 
  9) 64:                         63: 23/17 17/14 
 10) 53: 25/20 5/2*              41: 25/24 6/2 
 11) 51: 9/4 6/5                 52: 14/9 9/7 
 12) 43: 20/16 5/2               62: 7/1 7/5 
 13) 62: 16/10 10/8              31: 7/4 3/2 
 14) 33: 8/5 7/4 7/4 6/3         22: 6/4 6/4 4/2 4/2 
 15) 62: 6/0 6/4                 42: 5/1 4/2 
 16) 65: 5/0 5/0                 21: 4/2 4/3 
 17) 66: 5/0 4/0 4/0 4/0         33: 
 18) 62: 4/0 2/0                 61: 24/18 24/23* 
 19) 44: 25/21 21/17 17/13 13/9  33: 23/20 20/17 18/15 17/14 
 20) 61: 9/3 3/2                 54: 15/10 10/6 
 21) 62: 4/0 4/2                 31: 14/11 11/10 
 22) 53: 3/0 3/0                 21: 24/22* 6/5 
 23) 32:                         41: 10/6 6/5 
 24) 53:                         63: 22/16 16/13 
 25) 42: 25/21 21/19             21: 3/1 2/1 
 26) 52: 19/14 14/12*            51: 25/20 2/1 
 27) 31: 12/9 9/8                22: 20/18 18/16 16/14 14/12 
 28) 31: 8/5 5/4                 32: 12/9 9/7 
 29) 52: 4/0 2/0                 52: 7/2 2/0 
 30)  Doubles => 2                Drops
      Wins 1 point               

 
