Game1
 Tore F : 0                      Morten Holm : 0
  1)                             31: 8/5 6/5 
  2) 21: 13/11 24/23             52: 13/8 24/22 
  3) 33: 8/5 8/5 6/3* 6/3        54: 25/21 13/8 
  4) 45: 13/8 8/4*               14: 25/21* 6/5 
  5) 24: 25/21 23/21             22: 13/11 13/11 13/11 8/6 
  6) 21: 6/4* 11/10              23: 25/23 24/21* 
  7) 24: 25/21 10/8              35: 23/18 21/18 
  8) 62: 21/15 15/13             51: 11/6 6/5 
  9) 65: 24/18 13/8              32: 6/3 5/3 
 10) 65: 8/2 18/13               13: 6/3 3/2 
 11) 51: 13/8 3/2                52: 18/13 13/11 
 12) 63: 13/7* 8/5               56: 
 13)  Doubles => 2                Takes
 14) 53: 8/3 13/10               55: 
 15) 32: 10/7 8/6                55: 
 16) 41: 13/9 9/8                14: 25/21 3/2 
 17) 42: 8/4* 6/4                16: 25/24 11/5 
 18) 52: 21/16 5/3               13: 5/2 2/1 
 19) 45: 21/16 16/12             34: 8/4 8/5 
 20) 11: 12/11 11/10 3/2 2/1*    65: 
 21) 34: 10/6 16/13              32: 
 22) 36: 13/7 7/4                43: 
 23) 35: 6/1 4/1                 36: 
 24) 14: 6/2 6/5                 45: 
 25) 43: 7/3 7/4                 52: 
 26) 23: 3/0 2/0                 26: 25/19 8/6 
 27) 11: 2/1 1/0 1/0 1/0         64: 19/13 13/9 
 28) 25: 5/0 2/0                 51: 11/6 9/8 
 29) 33: 5/2 5/2 3/0 3/0         53: 11/6 8/5 
 30) 14: 4/0 1/0                 14: 5/1 1/0 
 31) 56: 4/0 4/0                 43: 4/0 6/3 
 32) 63: 2/0 2/0                 
      Wins 2 points              

 
