Game4
 Naoya Kihara : 2                Tsuyoshi Minakami : 1
  1)                             54: 24/20 13/8              
  2) 52: 24/22 13/8              63: 20/14 14/11             
  3) 63: 22/16 16/13             64: 13/7 11/7               
  4) 41: 24/23 13/9              41: 13/9 8/7                
  5) 61: 23/22 22/16             21: 25/23 6/5               
  6) 31: 8/5 6/5                 42: 13/9 7/5                
  7) 62: 25/23 8/2               31: 25/22 24/23             
  8) 32: 25/23 6/3               21: 25/23 23/22             
  9) 64: 25/21 9/3               65:                         
 10) 43: 13/9 6/3                61: 25/24 13/7              
 11) 33: 8/5 8/5 5/2 5/2         64: 25/21 21/15             
 12) 44: 13/9 9/5 9/5 5/1        64: 25/21 15/9              
 13) 63: 13/7 7/4                 Doubles => 2               
 14)  Drops                       Wins 1 point



 
