Game13
 Trencher : 10                   Unes : 9
  1)                             42: 6/4 8/4 
  2) 23: 13/11 13/10             53: 8/3 6/3 
  3) 55: 13/8 11/6 8/3 8/3       52: 13/8 13/11 
  4) 31: 8/5 6/5                 21: 13/11 24/23 
  5) 61: 8/2* 2/1*               51: 25/24* 
  6) 65: 25/20 24/18             13: 25/24 8/5* 
  7) 46:                         31: 8/5 24/23 
  8) 53:                         56: 6/1* 13/7* 
  9) 61: 25/24*                  41: 25/24 11/7 
 10) 45:                         42: 7/3 3/1* 
 11) 53:                         31: 11/8 8/7 
 12) 13: 25/24*                  41: 25/21 24/23 
 13) 43:                         61: 7/1* 24/23 
 14) 56:                         52: 13/8 8/6 
 15) 42: 25/23                   61: 7/1 6/5 
 16) 62: 25/23                   43: 21/17 17/14 
 17) 44:                         46: 14/10 23/17 
 18) 16:                         64: 23/17 10/6 
 19) 61:                         42: 17/13 17/15* 
 20) 46:                         51: 23/18 18/17 
 21) 36:                         63: 17/11 13/10 
 22) 52: 25/23                   53: 15/10 6/3 
 23) 32: 25/23 13/10             41: 11/7 7/6 
 24) 41: 13/9 6/5                46: 10/6 10/4 
 25) 63: 23/17 17/14             52: 5/0 6/4 
 26) 42: 14/10 6/4               46: 4/0 6/0 
 27) 54: 9/4 10/6                52: 6/1 6/4 
 28) 31: 10/7 7/6                44: 5/1 5/1 4/0 4/0 
 29) 33: 23/20 20/17 17/14 14/11 61: 4/0 4/3 
 30) 21: 11/9 9/8                64: 3/0 3/0 
 31) 62: 23/17 6/4               41: 3/0 1/0 
 32) 52: 23/18 8/6               36: 3/0 1/0 
 33) 62: 17/11 18/16             53: 1/0 1/0 
 34) 43: 16/12 11/8              21: 1/0 
                                  Wins 2 points

 
