Game4
 Rolf Vetsch : 2                 John Slattery : 3
  1)                             21: 13/11 24/23 
  2) 43: 13/9 24/21              53: 24/21 21/16* 
  3) 54: 25/20 13/9*             61: 25/24 11/5* 
  4) 51: 25/20* 21/20            61: 25/24 24/18 
  5) 61: 13/7* 8/7               55: 25/20 13/8 6/1* 6/1 
  6) 61:                         43: 20/16* 23/20 
  7) 64: 25/21                   65: 20/14 16/11 
  8) 51: 25/20 21/20             52: 14/9 11/9 
  9) 51: 20/15 15/14             51: 8/3 24/23 
 10) 41: 14/10 10/9              53: 23/20 20/15 
 11) 51: 9/4 6/5                 66: 15/9 13/7 13/7 13/7 
 12) 41: 8/4 6/5                  Doubles => 2
 13)  Drops                       Wins 1 point

 
