Game3
 Fouad Wanli : 0                Chris Ternel : 3
  1) 63: 24/18 13/10             41: 13/9 8/7* 
  2) 31: 25/24 13/10             53: 9/4 7/4 
  3) 44: 24/20 24/20 8/4 8/4     64: 13/7 7/3 
  4)  Doubles => 2                Takes
  5) 42: 13/9 10/8               63: 24/18 18/15* 
  6) 21: 25/23 23/22*            63: 25/22 22/16* 
  7) 32: 25/23 13/10*            43: 25/22 16/12* 
  8) 65: 25/20 22/16             43: 13/9* 12/9 
  9) 32: 25/23 6/3*              62: 25/23 24/18 
 10) 21: 10/8 8/7*               42: 25/23 13/9 
 11) 32: 6/3 7/5                 11: 9/8 8/7 8/7 8/7 
 12) 31: 23/20 6/5               51: 13/8 8/7 
 13) 32: 20/17 17/15             51: 6/1 7/6 
 14) 53: 20/15 23/20             61: 7/1 4/3 
 15) 42: 15/11 15/13             44: 7/3 7/3 6/2 6/2 
 16) 62: 20/14 13/11             53: 9/4 9/6 
 17) 51: 14/9 9/8                41: 6/2 2/1 
 18) 42: 20/16 20/18             63: 6/3 
 19) 54: 16/11 8/4               51: 6/1 3/2 
 20) 21: 18/16 16/15             63: 6/3 
 21) 21: 11/9 9/8                33: 4/1 4/1 
 22) 21: 8/6 15/14               64: 
 23) 51: 11/6 6/5                62: 3/1 
 24) 21: 14/12 4/3               63: 
 25) 55: 12/7 11/6 6/1 6/1       22: 3/1 3/1 3/1 
 26) 64: 7/1 5/1                 42: 
 27) 42: 8/4 8/6                 61: 23/17 17/16 
 28) 43: 4/0 6/3                 62: 23/17 16/14 
 29) 53: 5/0 3/0                 52: 17/12 12/10 
 30) 54: 5/0 4/0                 65: 14/8 10/5 
 31) 44: 6/2 6/2 4/0 3/0         64: 8/4 5/0 
 32) 61: 3/0 1/0                 
      Wins 2 points              

 
