Game9
 Davis : 9                       Winslow : 6
  1) 43: 13/9 24/21              42: 8/4* 6/4 
  2) 53: 25/20 13/10              Doubles => 2
  3)  Takes                      31: 8/5* 6/5 
  4) 64:                         61: 13/7 8/7 
  5) 52: 25/23 13/8              31: 13/10 24/23 
  6) 33: 8/5 8/5 6/3 6/3         33: 24/21 21/18 18/15* 13/10 
  7) 43: 25/22 6/2*              62: 25/23* 15/9 
  8) 51: 25/24 9/4               64: 9/3* 7/3 
  9) 62: 25/23 24/18*            52: 25/23 6/1* 
 10) 65:                         53: 23/18 10/7* 
 11) 21: 25/23 25/24*            11: 25/24 10/9 9/8 8/7 
 12) 41: 8/4 8/7*                32: 25/23 13/10 
 13) 65: 23/17 17/12*            52: 25/23 23/18* 
 14) 11: 25/24 24/23 13/12 13/12 11: 18/17 17/16 16/15 15/14 
 15) 61: 23/17 12/11*            64: 
 16) 41: 17/13 24/23             61: 25/24 24/18 
 17) 52: 12/7* 7/5               51: 25/24 10/5 
 18) 52: 11/6 6/4                21: 5/3 24/23 
 19) 31: 4/1* 13/12              54: 
 20) 41: 5/1 12/11               53: 
 21) 42: 12/8 8/6                53: 
 22) 22: 11/9 9/7 7/5 6/4        61: 
 23) 52: 6/1 6/4                 66: 25/19 23/17 19/13 17/11 
 24) 64: 23/17 17/13             63: 11/5 13/10 
 25) 22: 13/11 11/9 9/7 7/5      21: 10/8 8/7 
 26) 22: 5/3 5/3 3/1 3/1         41: 23/19 7/6 
 27) 22: 5/3 5/3 4/2* 4/2        62: 25/19 19/17 
 28) 64: 23/17 17/13             64: 19/13 6/2* 
 29) 51: 25/24 13/8*             61: 25/19 3/2 
 30) 66: 8/2                     32: 13/10 19/17 
 31) 33: 4/1 4/1                 61: 10/4 17/16 
 32) 42: 3/1                     32: 4/1* 16/14 
 33) 55:                         21: 14/12 12/11 
 34) 51: 25/24*                  42: 25/21 21/19 
 35) 51: 2/1                     52: 11/6 19/17 
 36) 33:                         63: 17/11 11/8 
 37) 53:                         64: 7/1* 5/1 
 38) 42:                         42: 8/4 7/5 
 39) 65:                         65: 6/0 5/0 
 40) 52:                         52: 5/0 5/3 
 41) 21:                         54: 6/1 6/2 
 42) 51: 25/20 20/19             61: 4/0 1/0 
 43) 52: 19/14 14/12             65: 4/0 4/0 
 44) 21: 12/10 10/9              52: 3/0 2/0 
                                  Wins 2 points

 
