Game3
 Yazawa,1849 : 1                  bgdaichan,1739 : 2
  1)                             34: 13/9 24/21
  2) 23: 6/4 24/21               52: 25/23 9/4
  3) 43: 25/21 4/1               32: 25/22 25/23
  4) 45: 6/1 24/20               31: 8/5 6/5
  5) 56:                         52: 6/4 13/8
  6) 53: 25/22                    Doubles => 2
  7)  Takes                      32: 6/4 13/10
  8) 64:                         15: 8/3 10/9
  9) 41: 25/24                   22: 9/7 7/5 5/3 23/21
 10) 13: 25/24 13/10             21: 22/20 21/20
 11) 52: 13/8 10/8               21: 23/21 21/20
 12) 53: 8/3 6/3                 14: 20/16 16/15
 13) 54: 8/4 13/8                54: 15/10 10/6
 14) 62: 8/2 4/2                 61: 13/7 8/7
 15) 25: 8/3 3/1                 36: 13/7 8/5
 16) 64: 13/7 7/3                22: 20/18 18/16 16/14 14/12
 17) 53:                         46: 20/14 12/8
 18) 23: 25/23 8/5               55: 7/2 7/2 14/9 7/2
 19) 31: 25/24 8/5               22: 9/7 7/5 8/6 2/0
 20) 25: 6/1 6/4                 22: 6/4 6/4 4/2 2/0
 21) 45: 5/1                     66: 6/0 6/0 5/0 5/0
 22) 65: 24/18 18/13             32: 5/2 5/3
 23) 35: 24/19 13/10             42: 4/0 2/0
 24) 32: 10/7 7/5                24: 4/0 4/2
 25) 53: 19/14 14/11             16: 3/0 2/1
 26) 13: 25/24 4/1               44: 25/21 21/17 17/13 13/9
 27) 61: 11/5 5/4                46: 9/3 3/0
 28) 14: 24/20 20/19             52: 3/0 2/0
 29) 36: 19/13 13/10             31: 3/2 2/0
 30) 65: 10/4 5/0                23: 2/0
                                  Wins 2 points

 
