Game7
 Yazawa Akiko : 4                Kageyama Michihito : 7
  1) 64: 24/18 13/9              22: 24/22 22/20 20/18 18/16* 
  2) 66:                         51: 16/11 8/7* 
  3) 55: 25/20 25/20 6/1* 6/1    43: 25/22 11/7 
  4) 33: 13/10 13/10 8/5 8/5     63: 22/16 16/13 
  5) 11: 10/9 9/8 6/5 5/4        41: 13/9 9/8 
  6) 66: 20/14 20/14 13/7 13/7   64: 13/7 13/9 
  7) 64: 24/20 20/14             11: 7/6 7/6 6/5 6/5 
  8) 43: 10/6 14/11              64: 13/7 8/4 
  9) 41: 8/4 7/6                 66: 13/7 13/7 9/3 7/1 
 10) 53: 14/9 8/5                41: 8/4 7/6 
 11) 32: 9/6 14/12               11: 7/6 7/6 6/5 6/5 
 12) 61: 12/6 7/6                66: 8/2 6/0 6/0 6/0 
 13) 21: 11/9 6/5                 Doubles => 2
 14)  Drops                       Wins 1 point

 
