Game4
 Felix Ziva : 4                  Veronika Dabul : 1
  1) 15: 13/8 24/23              43: 24/20 13/10 
  2) 12: 13/11 6/5*              52: 25/20* 24/22 
  3) 42: 25/21 23/21             32: 22/20 13/10 
  4) 65: 24/18 18/13             55: 20/15 20/15 10/5 10/5 
  5) 51: 11/6 6/5                64: 15/9 13/9 
  6) 32: 13/10* 13/11            21: 25/23 23/22 
  7) 41: 6/5 10/6                63: 22/16 16/13 
  8) 52: 8/3 6/4                 51: 13/8 6/5 
  9) 31: 8/5 5/4                  Doubles => 2
 10)  Takes                      65: 8/2 6/1 
 11) 41: 8/4 4/3                 63: 8/2 6/3 
 12) 56: 11/5 8/3                61: 9/3 9/8 
 13) 36: 13/7 13/10              43: 13/9 9/6 
 14) 41: 6/2 3/2                 32: 13/10 10/8 
 15) 11: 10/9 9/8 8/7 7/6        33: 8/5 8/5 8/5 8/5 
 16) 11: 7/6 6/5 5/4 4/3         55: 6/1 6/1 6/1 5/0 
 17) 62: 21/15 3/1               52: 5/0 5/3 
 18) 31: 15/12 12/11             51: 5/0 1/0 
 19) 65: 11/5 6/1                63: 5/0 3/0 
 20) 43: 21/17 17/14             63: 5/0 3/0 
 21) 31: 14/11 11/10             61: 5/0 1/0 
                                  Wins 2 points

 
