Game12
 akaisuisei,1816 : 9              minack,1903 : 7
  1) 41: 13/9 24/23              24: 8/4 6/4
  2) 53: 8/3 6/3                 54: 6/1 24/20
  3) 22: 25/23 9/7 7/5 13/11     44: 25/21 24/20 13/9 13/9
  4) 32: 25/22 13/11              Doubles => 2
  5)  Takes                      25: 8/3 3/1
  6) 46:                         64: 20/16 16/10
  7) 44:                         44: 9/5 9/5 8/4 13/9
  8) 16:                         42: 13/9 13/11
  9) 35: 25/22 22/17             53: 11/8 10/5
 10) 66:                         56: 9/3 8/3
 11) 41:                         22: 9/7 7/5 5/3 3/1
 12) 12: 25/23 3/2               45: 21/16 5/1
 13) 26: 11/9 9/3                51: 25/20 4/3
 14) 33: 8/5 8/5 11/8 8/5        22: 25/23 23/21 3/1 6/4
 15) 51:                         46: 21/15 15/11
 16) 21: 25/23 13/12             53: 11/6 6/3
 17) 43: 12/8 13/10              61: 6/0 6/5
 18) 62: 23/17 6/4               24: 4/0 5/3
 19) 62: 17/11 6/4               24: 5/1 5/3
 20) 13: 23/20 20/19             14: 4/0 4/3
 21) 51: 11/6 19/18              12: 3/1 1/0
 22) 43: 6/2 5/2                 52: 3/0 3/1
 23) 16: 18/12 8/7               22: 3/1 3/1 3/1 1/0
 24) 22: 10/8 8/6 7/5 23/21      61: 1/0 1/0
 25) 54: 21/16 16/12             34: 1/0 1/0
 26) 21: 23/21 21/20             42: 1/0 1/0
 27) 62: 12/6 20/18              34: 1/0 1/0
 28) 36: 18/12 12/9              14: 1/0
                                  Wins 4 points
