Game4
 jukins,1914 : 0                  amamlet,1950 : 6
  1)                             16: 13/7 8/7
  2) 53: 8/3 6/3                 21: 7/5 6/5
  3) 65: 24/18 18/13             65: 25/20 13/7
  4) 43: 13/9 9/6                13: 24/21 21/20
  5) 44: 13/9 13/9 8/4 8/4       26: 13/7 6/4
  6) 65: 13/7 6/1                16: 25/24 24/18
  7) 33: 25/22 25/22 24/21 6/3   44: 
  8) 22: 9/7 9/7 13/11 13/11     56: 25/20
  9) 31: 22/21 11/8              52: 25/20 13/11
 10)  Doubles => 2                Takes
 11) 53: 11/8 21/16              45: 13/9 9/4
 12) 45: 25/21                   32: 25/23 23/20
 13) 22: 25/23 23/21 6/4 4/2     43: 20/16 11/8
 14) 36: 22/16 16/13             44: 16/12 20/16 20/16 16/12
 15) 64: 25/21 21/15             55: 20/15 20/15 15/10 15/10
 16) 52: 25/23 7/2               15: 16/11 11/10
 17) 52: 23/21 21/16             53: 12/9 12/7
 18) 35: 25/22 21/16             12: 25/24 6/4
 19) 12: 25/23 22/21             16: 25/24 24/18
 20) 63: 25/22 22/16             62: 24/18 8/6
 21) 12: 23/21 3/2               34: 10/6 6/3
 22) 65: 16/10 10/5              51: 7/2 3/2
 23) 31: 8/5 2/1                 54: 18/13 13/9
 24) 26:                         52: 18/13 9/7
 25) 22:                         62: 13/7 7/5
 26) 56:                         11: 10/9 10/9 9/8 9/8
 27) 23: 25/22 8/6               25: 8/3 5/3
 28) 24: 25/21 6/4                Doubles => 4
 29)  Drops                       Wins 2 points

 
