Game3
 aston,1812 : 1                   arykanda,1813 : 1
  1)                             24: 8/4 6/4
  2) 54: 24/20 13/8              22: 13/11 13/11 24/22 24/22
  3) 51: 13/8 24/23              54: 22/18 18/13
  4) 42: 8/4 6/4                 66: 11/5 11/5 8/2 8/2
  5) 63: 25/22                   64: 13/7 7/3
  6) 46:                         41: 6/5 13/9
  7) 61: 25/24                   63: 9/3 13/10
  8) 65:                         25: 6/1 13/11
  9) 35:                         52: 22/20 20/15
 10) 55:                         33: 10/7 7/4 4/1 11/8
 11) 25:                         46: 15/9 8/4
 12) 66:                         23: 9/6 4/2
 13) 35:                         56: 6/0 5/0
 14) 24:                         52: 6/1 6/4
 15) 26: 25/19                   25: 5/0 5/3
 16) 26: 25/19 8/6               62: 4/0 2/0
 17) 25: 8/6 19/14               31: 3/0 1/0
 18) 63: 19/13 8/5               36: 4/0 3/0
 19) 63: 13/7 14/11              41: 4/0 1/0
 20) 53: 11/6 13/10              61: 3/0 1/0
 21) 65: 13/7 13/8               21: 2/0 2/1
 22) 15: 8/3 8/7                 35: 1/0
                                  Wins 2 points

 
