Game6
 akaisuisei,1794 : 3              backammon,1716 : 4
  1) 41: 13/9 24/23              16: 13/7 8/7
  2) 66: 13/7 13/7 13/7 13/7     15: 13/8 13/12
  3) 32: 24/21 23/21             51: 12/7 24/23
  4)  Doubles => 2                Takes
  5) 15: 7/2 2/1                 35: 25/20 25/22
  6) 64: 9/3 7/3                 33: 
  7) 52: 6/1 7/5                 53: 25/20
  8) 14: 25/21 6/5               32: 25/23
  9) 44: 8/4 8/4 6/2 8/4         45: 25/20
 10) 23: 25/22 4/2               12: 
 11) 15: 21/16 7/6               25: 25/20 8/6
 12) 41: 21/20 20/16             16: 8/2 8/7
 13) 42: 21/17 17/15             65: 7/1 6/1
 14) 24: 22/20 20/16             13: 6/3 3/2
 15) 63: 15/9 9/6                21: 7/5 6/5
 16) 65: 16/10 6/1               15: 20/15 15/14
 17) 61:                         64: 14/8 20/16
 18) 55:                         24: 8/4 6/4
 19) 21:                          Doubles => 4
 20)  Drops                       Wins 2 points

 
