Game5
 backammon,1723 : 10              akaisuisei,1786 : 1
  1)                             23: 24/21 13/11
  2) 16: 13/7 8/7                34: 24/21 13/9
  3) 65: 24/18 18/13             56: 9/3 8/3
  4) 54: 24/20 20/15             46: 11/5 13/9
  5) 42: 15/11 13/11             41: 8/4 6/5
  6) 24: 13/9 9/7                63: 13/7 13/10
  7) 53: 13/8 6/3                24: 8/4 7/5
  8) 65: 13/7 13/8               34: 6/2 5/2
  9) 55: 11/6 11/6 8/3 7/2       62: 9/3 3/1
 10) 61: 8/2 7/6                 16: 10/4 6/5
 11) 35: 6/1 6/3                 12: 4/2 2/1
 12) 43: 6/2 6/3                 33: 6/3 6/3 5/2 5/2
 13) 63: 8/2 8/5                 46: 21/15 15/11
 14) 53: 6/1 5/2                 51: 11/6 6/5
 15) 11: 7/6 7/6 1/0 1/0         62: 21/15 15/13
 16) 63: 6/0 3/0                 52: 13/8 8/6
 17) 44: 6/2 6/2 6/2 3/0         53: 5/0 3/0
 18) 45: 3/0 3/0                 36: 6/0 3/0
 19) 24: 2/0 2/0                 32: 3/0 2/0
 20) 12: 2/0 2/1                 42: 4/0 2/0
 21) 24: 2/0 2/0                 42: 4/0 2/0
 22) 14: 2/0 1/0                 33: 5/2 3/0 2/0 2/0
 23) 61: 2/0                    
      Wins 1 point
