Game1
 Preskar,1884 : 0                 bayblitz,1844 : 0
  1) 64: 24/18 13/9              45: 13/8 24/20
  2) 53: 18/13 9/6               51: 20/15 15/14
  3) 41: 13/9 24/23              66: 8/2 8/2 13/7 13/7
  4) 54: 25/20 13/9              53: 14/9 9/6
  5) 42: 8/4 6/4                 21: 7/5 6/5
  6) 45: 25/21 21/16             22: 6/4 6/4 13/11 11/9
  7) 16: 25/24 24/18             15: 25/20 8/7
  8) 33: 25/22 8/5 8/5 13/10     42: 25/23 7/3
  9) 15: 25/24 6/1                Doubles => 2
 10)  Takes                      51: 25/24 8/3
 11) 41: 25/24 10/6              21: 13/11 24/23
 12) 61: 13/7 7/6                22: 11/9 9/7 9/7 6/4
 13) 11: 9/8 9/8 8/7 8/7         51: 23/22 22/17
 14) 11: 6/5 13/12 6/5 5/4       61: 23/17 4/3
 15) 54: 12/7 7/3                56: 17/11 11/6
 16) 62: 7/1 5/3                 14: 17/13 13/12
 17) 55: 7/2 6/1 6/1 6/1         56: 12/6 7/2
 18) 44: 6/2 5/1 5/1             65: 7/2 6/0
 19) 16: 24/18 18/17             16: 6/0 2/1
 20) 52:                         11: 1/0 2/1 1/0 3/2
 21) 13: 25/24 17/14             31: 6/3 6/5
 22) 13: 14/11 11/10             36: 5/0 3/0
 23) 43: 10/6 6/3                32: 5/2 5/3
 24) 34: 24/20 20/17             34: 4/0 3/0
 25) 25: 17/12 12/10             53: 4/0 3/0
 26) 66: 10/4 4/0 4/0 4/0        65: 3/0 2/0
 27) 36: 4/0 3/0                 42: 2/0 2/0
 28) 44: 3/0 3/0 2/0 2/0         55: 2/0
                                  Wins 2 points

 
