Game1
 minack,1912 : 0                  bgyuki,1598 : 0
  1)                             13: 8/5 6/5
  2) 21: 13/11 24/23             25: 13/8 24/22
  3) 34: 13/9 9/6                21: 24/22 6/5
  4) 25: 23/18 13/11             45: 6/1 5/1
  5) 42: 25/21 18/16             54: 13/9 9/4
  6) 23: 25/22 25/23             53: 8/3 13/10
  7) 56:                         33: 8/5 5/2 10/7 7/4
  8) 35: 25/22                   36: 25/22 8/2
  9) 41:                         12: 13/11 22/21
 10) 12:                         12: 13/11 11/10
 11) 32: 25/22 6/4               56: 25/20 11/5
 12) 55: 6/1 6/1 13/8 13/8       43: 20/16 16/13
 13) 64: 8/2 8/4                 35: 13/8 8/5
 14) 16: 11/5 6/5                22: 10/8 8/6 6/4 4/2
 15) 63: 8/2 11/8                36: 22/16 16/13
 16) 31: 8/5 5/4                 51: 13/8 5/4
 17) 16: 22/16 4/3               41: 
 18) 61: 22/16 3/2               11: 
 19) 63: 16/10 16/13             34: 25/22 8/4
 20) 36: 13/7 10/7               44: 6/2 6/2 5/1 5/1
 21)  Doubles => 2                Takes
 22) 34: 7/3 7/4                 41: 
 23) 62: 8/2 3/1                 21: 
 24) 21: 8/6 1/0                 13: 25/22 5/4
 25) 16: 6/0 1/0                 43: 22/18 18/15
 26) 32: 2/0 6/3                 44: 15/11 11/7 7/3 4/0
 27) 63: 6/0 3/0                 63: 4/0 3/0
 28) 53: 5/0 4/1                 25: 4/0 2/0
 29) 61: 5/0 1/0                 35: 4/0 4/1
 30) 52: 4/0 2/0                 42: 2/0 2/0
 31) 45: 4/0 2/0                 22: 2/0 2/0 1/0 1/0
 32) 65: 2/0 1/0                
      Wins 2 points

 
