Game10
 cafecafe : 3                           CTrencher : 8
  1)                                    21: 24/23 13/11
  2) 65: 24/13                          11: 23/21 6/5(2)
  3) 65: 24/13                          66: 13/7(2) 8/2(2)
  4) 61: 13/7 8/7                       42: 8/4 6/4
  5) 31: 8/5 6/5                        33: 24/21 11/5 7/4
  6) 64: 8/2 6/2                        42: 7/3 5/3
  7) 65: 13/2                           42: 13/11 13/9
  8) 22: 13/9(2)                        11: 9/8 4/1
  9) 21: 6/3                            62: 21/13
  10) 22: 7/3 6/4*(2)                   52: Cannot Move
  11)  Doubles => 2                      Drops
  12)  Wins 1 point                     

 
