Game4
 michiko : 2                     daichan : 3
  1) 31: 8/5 6/5                 65: 24/18 18/13             
  2) 64: 24/18 13/9              43: 13/9 9/6                
  3) 21: 9/7 8/7                 62: 13/7 24/22              
  4) 54: 25/21 8/3               61: 25/24 13/7              
  5) 63: 21/15 6/3               53: 6/1 13/10               
  6) 62: 25/23                   31: 8/5 6/5                 
  7) 31: 25/24 24/21             54: 25/21 10/5              
  8) 11: 23/22 22/21 6/5 5/4     43: 25/21 24/21             
  9) 32: 25/22 13/11             31: 6/3 3/2                 
 10) 52: 25/23 11/6              21: 25/23 6/5               
 11) 65: 13/7 7/2                61: 25/24 13/7              
 12) 31: 6/3 13/12               22: 25/23 23/21 5/3 5/3     
 13) 61: 25/24 12/6              21: 24/23 23/21             
 14) 22: 23/21 13/11 3/1 3/1     62: 21/15 15/13             
 15) 43: 11/7 6/3                21: 7/5 13/12               
 16) 42: 7/3 3/1                  Doubles => 2               
 17)  Drops                       Wins 1 point



 
