Game4
 daada : 2                             TJ : 9
  1)                                   62: 24/18 13/11                   
  2) 51: 8/7* 6/1*                     54: Bar/21 Bar/20                 
  3) 62: 24/22 13/7                    42: 8/4 6/4                       
  4) 32: 6/4* 4/1                      65: Bar/20 11/5                   
  5) 62: 22/20* 20/14                  41: Bar/20                        
  6) 43: 14/10 13/10                   62: 20/14 13/11                   
  7) 33: 13/10 7/4(2) 6/3              63: 11/5 8/5                      
  8) 65: 24/13                         21: 14/11                         
  9)  Doubles => 2                      Takes                            
 10) 62: 10/2                          42: 13/7                          
 11) 63: 13/4                          55: 11/1 8/3 6/1                  
 12) 66: 13/7(2) 10/4(2)               21: 13/11 7/6                     
 13) 55: 8/3(2) 7/2(2)                 32: 13/8                          
 14) 53: 6/3 6/1                       52: 11/6 8/6                      
 15) 66: 4/Off(4)                      61: 20/19 20/14                   
 16) 31: 3/Off 1/Off                   65: 19/8                          
 17) 32: 3/Off 2/Off                   52: 14/9 8/6                      
 18) 65: 4/Off 3/Off                   44: ????                          
      Wins 2 point



 
