Game7
 daada : 1                             TJ : 6
  1)                                   62: 24/18 13/11                   
  2) 32: 24/21 13/11                   51: 24/18                         
  3) 33: 24/21 11/5 8/5                55: 18/13 18/8 11/6               
  4) 41: 13/9 6/5                      52: 13/6                          
  5) 41: 8/4 5/4                       42: 8/2                           
  6) 52: 8/3 6/4                       52: 13/6                          
  7) 11: 9/7 6/5 4/3                   65: 13/2                          
  8) 65: 13/2                          22: 13/9(2)                       
  9) 54: 13/9 7/2                       Doubles => 2                     
 10)  Takes                            41: 6/1                           
 11) 64: 13/7 9/5                      53: 6/3 6/1                       
 12) 31: 5/1                           43: 6/3 6/2                       
 13) 51: 7/1                           32: 8/3                           
 14) 42: 6/4 6/2                       62: 8/6 8/2                       
 15) 54: 21/12                         54: 6/2 6/1                       
 16) 61: 12/5                          41: 9/4*                          
 17) 22: Cannot Move                   63: 9/3 4/1                       
 18) 66: Cannot Move                   65: 6/1 6/Off                     
 19) 64: Bar/15                        11: 1/Off(4)                      
 20) 41: 15/10                         54: 3/Off(2)                      
 21) 31: 10/6                          53: 3/Off(2)                      
 22) 41: ????                           Wins 2 point



 
