Game10
 minack,1931 : 6                  daruma3,1657 : 8
  1) 51: 13/8 6/5                65: 24/18 18/13
  2) 52: 8/3 5/3                 65: 24/18 18/13
  3) 43: 24/20 8/5               16: 13/7 8/7
  4) 65: 13/7 13/8               62: 13/7 7/5
  5) 11: 25/24 6/5 24/23 23/22   23: 6/3 5/3
  6) 24: 25/21 6/4               61: 13/7 7/6
  7) 31: 24/21 8/7               24: 13/9 9/7
  8) 14: 8/4 7/6                 41: 13/9 9/8
  9) 12: 8/6 6/5                  Doubles => 2
 10)  Takes                      46: 8/2 6/2
 11) 12: 5/3 3/2                 66: 13/7 13/7 8/2 8/2
 12) 64: 13/7 6/2                32: 7/5 5/2
 13) 14: 13/9 9/8                23: 6/3 3/1
 14) 26: 7/1 8/6                 11: 7/6 7/6 7/6 7/6
 15) 35: 21/16 16/13             52: 6/1 2/0
 16) 42: 13/9 9/7                14: 6/2 1/0
 17) 15: 6/1 7/6                 23: 6/3 2/0
 18) 34: 6/2 7/4                 35: 6/1 3/0
 19) 56: 21/15 15/10             31: 3/0 1/0
 20) 23: 10/7 7/5                64: 6/0 6/2
 21) 33: 3/0 3/0 6/3 3/0         43: 3/0 6/2
 22) 62: 6/0 2/0                 61: 2/0 1/0
 23) 25: 5/0 2/0                 61: 2/0 2/1
 24) 22: 4/2 2/0 2/0 5/3         43: 2/0 2/0
 25) 31: 3/0 1/0                 61: 1/0 2/0
                                  Wins 2 points

 
