Game5
 deer511 : 9                     bgdaichan : 3
  1)                             31: 8/5 6/5                 
  2) 32: 13/10 13/11             31: 13/10 6/5               
  3) 63: 24/18 18/15             63: 25/22 24/18             
  4) 31: 10/7 8/7                41: 25/21 22/21             
  5) 22: 15/13 13/11 11/9 11/9   52: 13/8 13/11              
  6) 65: 24/18 18/13             22: 8/6 6/4 6/4 5/3         
  7) 53: 13/8 13/10              64: 21/15 15/11             
  8) 65:                          Doubles => 2               
  9)  Drops                       Wins 1 point



 
