Game2
 minack : 1                      domelun : 0
  1)                             32: 13/10 13/11 
  2) 41: 13/9 6/5                13: 24/21 21/20* 
  3) 24: 25/23 9/5*              53: 25/20* 13/10 
  4) 51: 25/20 6/5*              51: 25/20* 6/5* 
  5) 51: 25/20* 25/24            16: 25/24 11/5* 
  6) 51: 25/20* 6/5*             24: 25/21 25/23 
  7) 41: 8/4* 5/4                51: 25/20 24/23 
  8) 36: 24/18 23/20             12: 23/22 22/20 
  9) 21: 18/16 24/23             43: 23/20 20/16 
 10) 42: 13/9* 23/21             16: 25/24 24/18 
 11) 23: 24/21 9/7*              51: 25/20 24/23 
 12) 53: 7/2* 16/13              53: 25/22 20/15 
 13) 62: 8/2 8/6                 25: 22/17 17/15 
 14) 51: 13/8 8/7                51: 15/10 15/14 
 15) 34: 7/3 6/3                 64: 14/8 6/2 
 16) 23: 21/18 18/16             45: 8/3 6/2 
 17) 42: 16/14 14/10             52: 8/3 10/8 
 18) 33: 13/10 10/7 10/7 21/18   43: 10/6 10/7* 
 19) 44: 25/21 13/9 13/9 7/3     33: 13/10 10/7 7/4* 7/4 
 20) 22:                          Doubles => 2
 21)  Takes                      24: 20/18* 18/14 
 22) 42:                         23: 20/17 17/15 
 23) 12: 25/24                   14: 8/4 14/13 
 24) 54: 25/20 24/20             14: 6/2 15/14 
 25) 21: 9/7 7/6                 55: 13/8 13/8 14/9 9/4 
 26) 53: 20/15 15/12             13: 4/1 2/1 
 27) 23: 20/18 18/15             64: 8/2 8/4 
 28) 36: 15/9 9/6                44: 8/4 8/4 4/0 4/0 
 29) 63: 12/6 9/6                62: 6/0 6/4 
 30) 61: 20/14 6/5               63: 4/0 3/0 
 31) 54: 20/15 15/11             52: 4/0 2/0 
 32) 33: 11/8 8/5 14/11 11/8     54: 4/0 4/0 
 33) 32: 8/6 3/0                 54: 4/0 3/0 
                                  Wins 2 points

 
