Game10
 emperor : 7                            Schiemann : 6
  1) 32: 24/21 13/11                    44: 24/20(2) 8/4*(2)
  2) 54: bar/20 24/20                   21: 6/3
  3) 62: 13/11 13/7                     51: 13/8 4/3
  4) 32: 7/4 6/4                        32: 13/8
  5) 55: 20/10(2)                       62: 13/7 6/4
  6) 31: 6/3 4/3                        33: 8/2 8/5(2)
  7) 52: 13/11 13/8                     43: 13/10 6/2
  8) 63: 11/2                           55: 13/3 10/5 7/2
  9) 61: 8/2 4/3                        62: 20/12
  10) 43: 8/5* 5/1                      21: bar/24* 12/10
  11) 64: Cannot Move                   31: 24/21 10/9
  12) 51: bar/24 6/1                    21: 3/1* 2/1
  13) 43: Cannot Move                   32: 21/16
  14) 44: Cannot Move                   64: 16/6
  15) 62: Cannot Move                   64: 9/5 6/off
  16) 33: Cannot Move                   62: 6/4 6/off
  17) 65: bar/19 11/6                   66: 5/off(4)
  18) 52: 11/6 8/6                      63: 4/off 3/off
  19) 52: 19/14 8/6                     55: 4/off(2) 3/off 2/off
  20) 53: 14/6                          51: 2/off 1/off
  21) 33: 10/4(2)                       53: 1/off
  22)                                    Wins 2 point


 
