Game3
 arykanda,1850 : 3                endsoldier,1440 : 0
  1) 63: 24/18 13/10             54: 24/20 20/15
  2) 43: 25/21 13/10             24: 25/21 24/22
  3) 52: 21/16 18/16             36: 22/16 16/13
  4) 46: 10/4 8/4                51: 25/24 13/8
  5) 24: 13/9 6/4                22: 24/22 22/20 20/18 18/16
  6) 16: 25/24 24/18             66: 13/7 13/7 16/10 13/7
  7) 16: 25/24 13/7              21: 13/12 12/10
  8) 62: 25/23 8/2                Doubles => 2
  9)  Drops                       Wins 1 point

 
