Game2
 Kazuhiko,1624 : 0                ez2bcubed,1937 : 2
  1) 31: 8/5 6/5                 23: 24/21 13/11
  2) 22: 6/4 6/4 24/22 24/22     33: 25/22 11/8 8/5 8/5
  3) 54: 13/8 8/4                61: 22/16 6/5
  4)  Doubles => 2                Takes
  5) 12: 8/6 6/5                 36: 16/10 13/10
  6) 32: 13/10 10/8              31: 13/10 6/5
  7) 46: 13/7 7/3                12: 24/22 6/5
  8) 22: 25/23 5/3 8/6 8/6       26: 25/23 23/17
  9) 51: 13/8 4/3                46: 
 10) 35: 13/8 6/3                33: 
 11) 55: 23/18 18/13 13/8 8/3    51: 25/24 13/8
 12) 14: 6/2 3/2                 62: 24/18 18/16
 13) 16: 8/2 2/1                 22: 16/14 14/12 12/10 10/8
 14) 43: 8/4 4/1                 56: 13/8 8/2
 15) 51: 22/21 21/16             35: 5/2 8/3
 16) 62:                         11: 5/4 4/3 10/9 8/7
 17) 42: 25/21                   34: 8/4 7/4
 18) 52:                         22: 10/8 8/6 8/6 10/8
 19) 34:                         32: 8/5 6/4
 20) 64:                         35: 6/1 4/1
 21) 52:                         32: 9/6 5/3
 22) 56:                         33: 6/3 3/0 3/0 5/2
 23) 54:                         62: 6/0 6/4
 24) 51:                         55: 5/0 5/0 4/0 4/0
 25) 36: 25/19                   15: 4/0 2/1
 26) 22:                         62: 3/0 3/1
 27) 14: 25/21 19/18             62: 2/0 2/0
 28) 25: 21/16 16/14             32: 1/0 1/0
 29) 64: 18/12 14/10             22: 1/0 1/0
                                  Wins 4 points

 
