Game8
 minack : 3                      Fabio : 9
  1) 23: 13/10 13/11             62: 24/18 13/11 
  2) 31: 10/7* 8/7               54: 25/20 24/20 
  3) 53: 11/6 24/21              64: 13/7 11/7 
  4) 55: 21/16 16/11 11/6 6/1    41: 13/9 6/5 
  5) 42: 24/20* 13/11            63: 25/22 20/14* 
  6) 53: 25/20 6/3*              34: 25/22* 13/9 
  7) 24: 25/21 13/11*            53: 25/20 6/3 
  8) 32: 6/3* 3/1                54: 25/20 13/9 
  9) 56: 21/15 11/6              11: 9/8 8/7 7/6 8/7 
 10) 51: 13/8 8/7                32: 7/4 6/4 
 11) 44: 8/4 8/4 6/2 6/2         61: 9/3 9/8 
 12) 31: 7/4 4/3                 31: 20/17 8/7 
 13) 54: 20/15 20/16             55: 20/15 20/15 17/12 12/7 
 14) 52: 16/11 11/9              12: 7/5 6/5 
 15)  Doubles => 2                Takes
 16) 42: 9/5 7/5                 65: 8/2 7/2 
 17) 61: 7/1 4/3                 21: 8/6 6/5 
 18) 53: 6/1 4/1                 62: 7/1 5/3 
 19) 52: 6/1 6/4                 51: 7/2 2/1 
 20) 62: 15/9 15/13              55: 15/10 15/10 10/5 10/5 
 21) 61: 13/7 7/6                53: 5/0 3/0 
 22) 41: 9/5 1/0                 41: 4/0 1/0 
 23) 13: 3/0 1/0                 43: 4/0 3/0 
 24) 52: 5/0 2/0                 61: 6/0 1/0 
 25) 66: 6/0 5/0 5/0 4/0         64: 6/0 5/1 
 26) 23: 3/0 2/0                 11: 2/1 1/0 1/0 2/1 
 27) 43: 1/0 1/0                 55: 5/0 5/0 3/0 1/0 
                                  Wins 2 points

 
