Game6
 fairytails : 6                 ayumi@tamao- : 2
  1)                             36: 13/10 24/18 
  2) 63: 24/18 18/15*             Doubles => 2
  3)  Takes                      64: 25/21 24/18 
  4) 11: 6/5 6/5 5/4* 5/4        43: 25/22 13/9 
  5) 42: 15/11 13/11             64: 8/2 6/2 
  6) 33: 11/8 11/8 8/5 8/5       43: 22/18 9/6 
  7) 52: 13/8 8/6                63: 18/15 15/9 
  8) 16: 6/5 8/2                 52: 9/4 6/4 
  9) 44: 24/20 13/9 13/9 13/9    51: 13/8 6/5* 
 10) 36: 25/22 22/16             24: 13/11 13/9* 
 11) 16: 25/24 9/3               13: 9/8 8/5 
 12) 15: 2/1 6/1                 46: 8/4 11/5 
 13) 33: 8/5 8/5 5/2 5/2         12: 4/3 5/3 
 14) 12: 6/5 5/3                 14: 6/5 8/4 
 15) 44: 9/5 9/5 6/2 5/1         33: 18/15 18/15 8/5 5/2
 16) 25: 5/3                     44: 15/11 15/11 11/7 11/7
 17) 25: 3/1                     44: 7/3 7/3 6/2 6/2
 18) 64: 24/18 18/14             15: 2/1 5/0 
 19) 22: 14/12 12/10 10/8 8/6    62: 5/0 2/0 
 20) 13: 1/0 3/0                 56: 5/0 4/0 
 21) 22: 4/2 2/0 2/0 2/0         13: 1/0 3/0 
 22) 63: 6/0 3/0                 63: 4/0 3/0 
 23) 54: 5/0 4/0                 23: 2/0 3/0 
 24) 36: 5/2 5/0                 55: 4/0 3/0 2/0 2/0
                                  Wins 2 points

 
