Game6
 yuya,1813 : 6                    fairytails,1845 : 4
  1) 65: 24/18 18/13             65: 24/18 18/13
  2) 52: 13/8 13/11              35: 8/3 6/3
  3) 51: 24/23 23/18             63: 13/7 13/10
  4) 14: 25/21 11/10              Doubles => 2
  5)  Takes                      66: 10/4 13/7 8/2 8/2
  6) 35: 25/20 13/10             33: 13/10 10/7 7/4 24/21
  7) 13: 8/5 6/5                 53: 21/16 16/13
  8) 15: 13/8 8/7                41: 13/9 6/5
  9) 14: 25/24 24/20             41: 25/24 9/5
 10) 32:                         56: 24/18 13/8
 11) 53: 25/20                   14: 25/21 6/5
 12) 24:                         33: 8/5 13/10 7/4 21/18
 13) 22:                         55: 18/13 18/13 13/8 13/8
 14) 55:                         25: 10/5 8/6
 15) 36:                         16: 8/2 4/3
 16) 35:                         66: 7/1 6/0 6/0 6/0
 17) 44:                         13: 5/2 2/1
 18) 44:                         22: 5/3 5/3 3/1 2/0
 19) 35: 25/20                   64: 4/0 4/0
 20) 21:                         52: 3/0 3/1
 21) 24: 25/21 20/18             56: 3/0 3/0
 22) 14:                                   Wins 4 points

 
