Game3
 fuka' : 2                             fairytails : 1
  1) 61: 13/7 8/7                      54: 24/20 13/8                    
  2) 32: 8/5* 7/5                      52: Bar/18*                       
  3) 42: Bar/23 8/4                    65: 24/18 13/8                    
  4) 52: 23/18 6/4                     55: 18/13(2) 8/3(2)               
  5) 21: 13/11 6/5                     22: 13/11(2) 6/4(2)               
  6) 64: 24/18 11/7                    42: 13/11 8/4                     
  7) 33: 13/7 6/3 5/2                  41: 11/6                          
  8) 62: 24/18 7/5                     61: 11/5 6/5                      
  9) 41: 18/14* 3/2                    61: Bar/18*                       
 10) 51: Bar/24 14/9                    Doubles => 2                     
 11)  Drops                             Wins 1 point



 
