Game7
 goldbach7808,1673 : 5            fairytails,1838 : 4
  1) 42: 8/4 6/4                 64: 24/18 18/14
  2) 41: 13/9 24/23              11: 6/5 6/5 14/13 6/5
  3) 21: 24/22 23/22             61: 13/7 8/7
  4) 53: 8/3 6/3                 65: 24/18 18/13
  5) 44: 13/9 9/5 9/5 13/9       16: 13/7 7/6
  6) 21: 9/7 8/7                 36: 13/7 13/10
  7) 65: 7/1 6/1                 64: 13/7 10/6
  8) 46: 13/7 13/9               15: 13/8 7/6
  9) 45: 7/2 9/5                 11: 6/5 5/4 5/4 6/5
 10) 61: 7/1 5/4                 63: 13/7 7/4
 11) 63: 22/16 16/13              Doubles => 2
 12)  Drops                       Wins 1 point

 
