Game8
 hanse : 6                              LtDrogo : 11
  1) 54: 13/9 13/8                      33: 24/21(2) 13/10(2)
  2) 63: 9/3 6/3                        62: 10/4 6/4
  3) 63: 24/15*                         54: bar/20 13/9
  4) 62: 24/16*                         43: bar/21 13/10*
  5) 66: Cannot Move                    64: 20/14 13/9*
  6) 44: Cannot Move                    63: 9/3 6/3
  7) 63: Cannot Move                    31: 8/5 6/5
  8) 43: Cannot Move                    43: 10/7 8/4
  9) 63: Cannot Move                    52: 7/2 4/2
  10) 44: Cannot Move                   64: 21/15 14/10
  11) 65: Cannot Move                   32: 15/13 10/7
  12) 54: Cannot Move                   54: 21/16 13/9
  13) 53: Cannot Move                   32: 16/14 9/6
  14) 61: bar/24                        55: 21/1*
  15) 32: Cannot Move                   32: 6/1
  16) 64: Cannot Move                   43: 14/10 7/4
  17) 41: Cannot Move                   63: 10/4 8/5
  18) 53: Cannot Move                   61: 6/5 6/off
  19) 21: Cannot Move                   65: 5/off(2)
  20) 61: bar/19                        54: 5/1 5/off
  21) 11: Cannot Move                   21: 4/3 4/2
  22) 54: bar/20 13/9                   54: 4/off(2)
  23) 11: 19/18 13/11 13/12             11: 2/off 1/off(2)
  24) 21: 11/10 8/6                     62: 3/off 2/off
  25) 31: 20/19 9/6                     21: 2/off 1/off
  26) 64: 12/6 10/6                     42: 3/1 3/off
  27) 54: 19/10                         41: 1/off
  28)                                    Wins 2 point
  29)                                   
