Game13
 hanse : 12                             wristy : 11
  1) 43: 24/21 24/20                    43: 8/5* 8/4*
  2) 42: bar/23 bar/21*                 32: bar/23 8/5
  3) 22: 23/21 13/11 6/4(2)             55: 23/8 13/8
  4) 41: 11/7 8/7                       64: 24/14
  5) 43: 13/10 13/9                     64: 24/14
  6) 63: 9/3 8/5                        62: 13/5
  7) 32: 7/5 6/3                        43: 6/2 5/2
  8) 64: 10/6 8/2                       65: 13/2
  9) 53: 13/10 13/8                     42: 14/8
  10) 63: 10/7 8/2                      53: 14/6
  11) 52: 7/5 6/1                       54: 8/3 6/2
  12) 54: 7/2 5/1                       62: 8/6 8/2
  13) 63: 21/18 21/15                   44: 13/5(2)
  14) 43: 18/11                         31: 5/4 3/off
  15) 44: 15/3 11/7                     53: 6/3 5/off
  16) 63: 7/4 6/off                     31: 3/off 2/1
  17) 54: 5/off 4/off                   61: 6/off 1/off
  18) 61: 6/off 1/off                   44: 6/2(2) 5/1 4/off
  19) 42: 4/off 2/off                   61: 6/off 1/off
  20) 52: 5/off 2/off                   54: 5/off 2/off
  21) 65: 4/off 3/off                   64: 2/off(2)
  22) 66: 3/off(2) 2/off 1/off          
  23)  Wins 1 point                     
  24)                                   
