Game1
 Isobe : 0                       bgdaichan : 0
  1) 21: 13/11 6/5               55: 13/8 13/8 8/3 8/3       
  2) 53: 13/8 8/5                63: 24/18 18/15             
  3) 51: 11/10 10/5              65:                         
  4) 54: 6/1 5/1                 22: 25/23 25/23 6/4 6/4     
  5) 62: 24/18 18/16             55: 23/18 23/18 18/13 18/13 
  6) 63: 16/10 8/5               43: 13/9 9/6                
  7) 41: 8/4 5/4                 64: 8/2 6/2                 
  8) 53: 8/3 6/3                  Doubles => 2               
  9)  Takes                      62: 8/2 8/6                 
 10) 31: 13/10 10/9              11: 6/5 6/5 2/1 2/1         
 11) 66:                         44: 13/9 13/9 6/2 6/2       
 12) 55:                         53: 13/8 8/5                
 13) 55:                         64: 13/7 7/3                
 14) 55:                         52: 9/4 9/7                 
 15) 63: 25/19 19/16             62: 7/5 5/0                 
 16) 54: 13/8 16/12              54: 5/0 4/0                 
 17) 52: 13/8 8/6                52: 5/0 2/0                 
 18) 62: 12/6 8/6                51: 5/0 1/0                 
 19) 52: 10/5 9/7                66: 4/0 4/0 3/0 3/0         
 20) 66: 7/1 6/0 6/0 6/0         66: 3/0 2/0 2/0 1/0         
                                  Wins 2 point



 
